"","...1","...2","...3","...4","...5","fips","FIPS.x","stateName","countyName","ccvi","adi.median2","adi.mean2","adi.median.uw2","adi.mean.uw2","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","VLCN_EXPP","VLCN_EXPPE","VLCN_EXPT","VLCN_HLRB","VLCN_HLRP","VLCN_HLRR","VLCN_EALB","VLCN_EALP","VLCN_EALPE","VLCN_EALT","VLCN_EALS","VLCN_EALR","VLCN_RISKS","VLCN_RISKR","WFIR_EVNTS","WFIR_AFREQ","WFIR_EXPB","WFIR_EXPP","WFIR_EXPPE","WFIR_EXPA","WFIR_EXPT","WFIR_HLRB","WFIR_HLRP","WFIR_HLRA","WFIR_HLRR","WFIR_EALB","WFIR_EALP","WFIR_EALPE","WFIR_EALA","WFIR_EALT","WFIR_EALS","WFIR_EALR","WFIR_RISKS","WFIR_RISKR","WNTW_EVNTS","WNTW_AFREQ","WNTW_EXPB","WNTW_EXPP","WNTW_EXPPE","WNTW_EXPA","WNTW_EXPT","WNTW_HLRB","WNTW_HLRP","WNTW_HLRA","WNTW_HLRR","WNTW_EALB","WNTW_EALP","WNTW_EALPE","WNTW_EALA","WNTW_EALT","WNTW_EALS","WNTW_EALR","WNTW_RISKS","WNTW_RISKR","NRI_VER","coi_num"
"1",1,1,1,1,1,"17031010100",17031010100,"ILLINOIS","Cook",0.937615161884707,3,3.66666666666667,4,3.66666666666667,17031010100,17,"ILLINOIS","IL",17031,"Cook",17031010100,"Census Tract 101, Cook County, Illinois",0.7421,0.7421,2015,17031,17,"IL",911,-0.02089,-0.03721,-0.2564,-0.03616,"Moderate","Very Low","Very Low","Very Low",42,11,10,12,"Moderate","Very Low","Very Low","Very Low",41,13,12,13,"Low","Very Low","Very Low","Very Low",38,14,13,15,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.153776672e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,554357999.999999,4853.99999999999,36890399999.9999,0,37444757999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",27.0070949748234,0.000229168040543,1741.67710812542,0,1768.68420310025,19.2506779786429,"Relatively Moderate",11.7697904447731,"Relatively Moderate",2021-07-01,1
"2",2,2,2,2,2,"17031010201",17031010201,"ILLINOIS","Cook",0.918995303473213,4.5,5.33333333333333,6,5.33333333333333,17031010201,17,"ILLINOIS","IL",17031,"Cook",17031010201,"Census Tract 102.01, Cook County, Illinois",0.9488,0.9488,2015,17031,17,"IL",1691,-0.04126,-0.00934,-0.2576,-0.0356,"Low","Low","Very Low","Very Low",30,25,10,13,"Low","Low","Very Low","Very Low",28,27,12,14,"Low","Low","Very Low","Very Low",27,30,13,15,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,6.09880337e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,453753999.999999,4090.99999999999,31091599999.9999,0,31545353999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",22.1058907298281,0.000193145128525,1467.9029767905,0,1490.00886752033,18.181325748122,"Relatively Moderate",10.2823061540544,"Relatively Low",2021-07-01,1
"3",3,3,3,3,3,"17031010202",17031010202,"ILLINOIS","Cook",0.996023884401712,5,6,6,6,17031010202,17,"ILLINOIS","IL",17031,"Cook",17031010202,"Census Tract 102.02, Cook County, Illinois",0.9286,0.9286,2015,17031,17,"IL",429,-0.02708,-0.05491,-0.10385,-0.02093,"Low","Very Low","Low","Low",38,6,27,23,"Low","Very Low","Low","Low",37,8,25,23,"Low","Very Low","Low","Low",34,9,27,25,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,309784000,3864,29366400000,0,29676184000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",15.0919909330806,0.000182427958108,1386.45248162271,0,1401.54447255579,17.8141412388353,"Relatively Moderate",10.2208048350776,"Relatively Low",2021-07-01,2
"4",4,4,4,4,4,"17031010300",17031010300,"ILLINOIS","Cook",0.980188692315152,5,5.75,5.5,5.75,17031010300,17,"ILLINOIS","IL",17031,"Cook",17031010300,"Census Tract 103, Cook County, Illinois",0.719,0.719,2015,17031,17,"IL",804,-0.01995,-0.05203,-0.06641,-0.01547,"Moderate","Very Low","Low","Low",43,7,33,28,"Moderate","Very Low","Low","Low",42,8,30,27,"Low","Very Low","Low","Low",38,10,31,29,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,465943999.999999,4749.99999999999,36099999999.9999,0,36565943999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",22.6997605535577,0.000224257971277,1704.36058170494,0,1727.06034225849,19.0984637290825,"Relatively Moderate",11.5855497262874,"Relatively Moderate",2021-07-01,2
"5",5,5,5,5,5,"17031010400",17031010400,"ILLINOIS","Cook",0.562738116678904,3,5,5,5,17031010400,17,"ILLINOIS","IL",17031,"Cook",17031010400,"Census Tract 104, Cook County, Illinois",0.6475,0.6475,2015,17031,17,"IL",723,0.001521,0.001207,-0.12138,-0.01386,"Moderate","Low","Low","Low",55,32,24,30,"Moderate","Low","Low","Low",55,36,23,29,"Moderate","Low","Low","Low",48,38,24,30,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.76063012e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,478437000,4650,3.534e+10,0,35818437000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",23.3083918667533,0.000219536750829,1668.47930630062,0,1691.78769816737,18.9675491386481,"Relatively Moderate",12.2826083129425,"Relatively Moderate",2021-07-01,2
"6",6,6,6,6,6,"17031010501",17031010501,"ILLINOIS","Cook",0.648494756237791,3,4,3,4,17031010501,17,"ILLINOIS","IL",17031,"Cook",17031010501,"Census Tract 105.01, Cook County, Illinois",0.5447,0.5447,2015,17031,17,"IL",472,-0.02469,-0.01593,-0.11834,-0.01823,"Low","Low","Low","Low",40,21,25,25,"Low","Low","Low","Low",39,23,23,25,"Low","Low","Low","Low",36,25,25,27,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,376400999.999999,4168,31676800000,0,32053201000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",18.3374237507504,0.00019678046827,1495.53155885183,0,1513.86898260257,18.2778605927833,"Relatively Moderate",10.2214250147459,"Relatively Low",2021-07-01,2
"7",7,7,7,7,7,"17031010502",17031010502,"ILLINOIS","Cook",0.695764813455064,4,4.5,4.5,4.5,17031010502,17,"ILLINOIS","IL",17031,"Cook",17031010502,"Census Tract 105.02, Cook County, Illinois",0.5532,0.5532,2015,17031,17,"IL",219,-0.00642,-0.02463,0.012412,-0.00187,"Moderate","Very Low","Moderate","Moderate",51,16,47,43,"Moderate","Very Low","Moderate","Low",51,18,42,39,"Moderate","Very Low","Moderate","Low",44,20,43,40,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,5.668307186e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,481621999.999999,6213.99999999999,47226399999.9999,0,47708021999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",23.4635580184004,0.000293376638635,2229.6624536241,0,2253.1260116425,20.8684931326593,"Relatively Moderate",13.0613791448846,"Relatively Moderate",2021-07-01,2
"8",8,8,8,8,8,"17031010503",17031010503,"ILLINOIS","Cook",0.691941092531276,2,4,4,4,17031010503,17,"ILLINOIS","IL",17031,"Cook",17031010503,"Census Tract 105.03, Cook County, Illinois",0.8634,0.8634,2015,17031,17,"IL",142,-0.04573,-0.02951,-0.17226,-0.02828,"Low","Very Low","Very Low","Very Low",27,14,18,17,"Low","Very Low","Very Low","Very Low",26,15,17,18,"Low","Very Low","Very Low","Very Low",25,17,19,20,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,539294000,6963,52918800000,0,53458094000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",26.2732102312088,0.00032873857979,2498.41320640242,0,2524.68641663362,21.6752980540791,"Relatively Moderate",12.7000965414421,"Relatively Moderate",2021-07-01,1
"9",9,9,9,9,9,"17031010600",17031010600,"ILLINOIS","Cook",0.92837450298555,4,4.5,4.5,4.5,17031010600,17,"ILLINOIS","IL",17031,"Cook",17031010600,"Census Tract 106, Cook County, Illinois",0.5863,0.5863,2015,17031,17,"IL",924,-0.0149,-0.01126,-0.04971,-0.00864,"Moderate","Low","Low","Low",46,23,35,35,"Moderate","Low","Low","Low",45,26,32,33,"Low","Low","Low","Low",40,28,33,35,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.63604929e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,463215999.999999,4286,32573600000,0,33036816000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",22.566858430577,0.000202351508399,1537.87146382892,0,1560.43832225949,18.4633909683493,"Relatively Moderate",11.3121980114793,"Relatively Moderate",2021-07-01,2
"10",10,10,10,10,10,"17031010701",17031010701,"ILLINOIS","Cook",0.779166262589878,3,3.5,3.5,3.5,17031010701,17,"ILLINOIS","IL",17031,"Cook",17031010701,"Census Tract 107.01, Cook County, Illinois",0.6412,0.6412,2015,17031,17,"IL",930,-0.02931,0.005443,0.002789,-0.00235,"Low","Low","Moderate","Moderate",37,36,45,42,"Low","Low","Moderate","Low",35,39,41,39,"Low","Moderate","Moderate","Low",33,42,41,39,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,278172999.999999,1927.99999999999,14652799999.9999,0,14930972999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",13.551972967706,9.1025130236e-05,691.790989795184,0,705.34296276289,14.1697670175026,"Relatively Low",8.46931006311952,"Relatively Low",2021-07-01,2
