"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1",59956,"G17003100101001",170310101001,"24","2",17
"2",59957,"G17003100101002",170310101002,"49","5",17
"3",59958,"G17003100101003",170310101003,"43","4",17
"4",59959,"G17003100102011",170310102011,"57","6",17
"5",59960,"G17003100102012",170310102012,"68","7",17
"6",59961,"G17003100102013",170310102013,"33","3",17
"7",59962,"G17003100102021",170310102021,"70","7",17
"8",59963,"G17003100102022",170310102022,"52","5",17
"9",59964,"G17003100103001",170310103001,"70","7",17
"10",59965,"G17003100103002",170310103002,"49","5",17
"11",59966,"G17003100103003",170310103003,"64","6",17
"12",59967,"G17003100103004",170310103004,"52","5",17
"13",59968,"G17003100104001",170310104001,"38","3",17
"14",59969,"G17003100104002",170310104002,"65","7",17
"15",59970,"G17003100104003",170310104003,"GQ","GQ",17
"16",59971,"G17003100105011",170310105011,"62","6",17
"17",59972,"G17003100105012",170310105012,"31","3",17
"18",59973,"G17003100105013",170310105013,"36","3",17
"19",59974,"G17003100105021",170310105021,"46","4",17
"20",59975,"G17003100105022",170310105022,"51","5",17
"21",59976,"G17003100105031",170310105031,"25","2",17
"22",59977,"G17003100105032",170310105032,"64","6",17
"23",59978,"G17003100106001",170310106001,"56","6",17
"24",59979,"G17003100106002",170310106002,"39","4",17
"25",59980,"G17003100106003",170310106003,"31","3",17
"26",59981,"G17003100106004",170310106004,"48","5",17
"27",59982,"G17003100107011",170310107011,"36","3",17
"28",59983,"G17003100107012",170310107012,"42","4",17
"29",59984,"G17003100107021",170310107021,"55","5",17
"30",59985,"G17003100107022",170310107022,"63","6",17
"31",59986,"G17003100107023",170310107023,"64","6",17
"32",59987,"G17003100107024",170310107024,"65","7",17
"33",59988,"G17003100201001",170310201001,"52","5",17
"34",59989,"G17003100201002",170310201002,"73","7",17
"35",59990,"G17003100202001",170310202001,"16","1",17
"36",59991,"G17003100202002",170310202002,"29","3",17
"37",59992,"G17003100202003",170310202003,"21","2",17
"38",59993,"G17003100202004",170310202004,"28","2",17
"39",59994,"G17003100203011",170310203011,"62","6",17
"40",59995,"G17003100203012",170310203012,"51","5",17
"41",59996,"G17003100203013",170310203013,"18","1",17
"42",59997,"G17003100203021",170310203021,"27","2",17
"43",59998,"G17003100203022",170310203022,"22","2",17
"44",59999,"G17003100203023",170310203023,"27","2",17
"45",60000,"G17003100204001",170310204001,"24","2",17
"46",60001,"G17003100204002",170310204002,"34","3",17
"47",60002,"G17003100204003",170310204003,"39","4",17
"48",60003,"G17003100205001",170310205001,"75","8",17
"49",60004,"G17003100205002",170310205002,"43","4",17
"50",60005,"G17003100205003",170310205003,"76","8",17
"51",60006,"G17003100205004",170310205004,"65","7",17
"52",60007,"G17003100206011",170310206011,"27","2",17
"53",60008,"G17003100206012",170310206012,"44","4",17
"54",60009,"G17003100206013",170310206013,"80","8",17
"55",60010,"G17003100206021",170310206021,"31","3",17
"56",60011,"G17003100206022",170310206022,"28","2",17
"57",60012,"G17003100206023",170310206023,"26","2",17
"58",60013,"G17003100206024",170310206024,"20","2",17
"59",60014,"G17003100207011",170310207011,"19","2",17
"60",60015,"G17003100207012",170310207012,"20","2",17
"61",60016,"G17003100207021",170310207021,"50","5",17
"62",60017,"G17003100207022",170310207022,"42","4",17
"63",60018,"G17003100207023",170310207023,"68","7",17
"64",60019,"G17003100207024",170310207024,"39","4",17
"65",60020,"G17003100208011",170310208011,"31","3",17
"66",60021,"G17003100208012",170310208012,"26","2",17
"67",60022,"G17003100208013",170310208013,"28","2",17
"68",60023,"G17003100208014",170310208014,"29","3",17
"69",60024,"G17003100208021",170310208021,"23","2",17
"70",60025,"G17003100208022",170310208022,"42","4",17
"71",60026,"G17003100208023",170310208023,"42","4",17
"72",60027,"G17003100208024",170310208024,"38","3",17
"73",60028,"G17003100209011",170310209011,"76","8",17
"74",60029,"G17003100209012",170310209012,"61","6",17
