"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1",84126,"G22007100001001",220710001001,"20","1",22
"2",84127,"G22007100001002",220710001002,"28","1",22
"3",84128,"G22007100001003",220710001003,"26","1",22
"4",84129,"G22007100002001",220710002001,"66","5",22
"5",84130,"G22007100002002",220710002002,"59","4",22
"6",84131,"G22007100003001",220710003001,"82","8",22
"7",84132,"G22007100003002",220710003002,"70","6",22
"8",84133,"G22007100004001",220710004001,"56","4",22
"9",84134,"G22007100004002",220710004002,"69","6",22
"10",84135,"G22007100006011",220710006011,"71","6",22
"11",84136,"G22007100006012",220710006012,"68","6",22
"12",84137,"G22007100006021",220710006021,"84","8",22
"13",84138,"G22007100006022",220710006022,"76","7",22
"14",84139,"G22007100006023",220710006023,"82","8",22
"15",84140,"G22007100006031",220710006031,"75","7",22
"16",84141,"G22007100006032",220710006032,"80","7",22
"17",84142,"G22007100006041",220710006041,"86","8",22
"18",84143,"G22007100006042",220710006042,"78","7",22
"19",84144,"G22007100006043",220710006043,"69","6",22
"20",84145,"G22007100006051",220710006051,"78","7",22
"21",84146,"G22007100006052",220710006052,"89","9",22
"22",84147,"G22007100006053",220710006053,"67","5",22
"23",84148,"G22007100006061",220710006061,"56","4",22
"24",84149,"G22007100006062",220710006062,"53","3",22
"25",84150,"G22007100006063",220710006063,"45","3",22
"26",84151,"G22007100006071",220710006071,"43","2",22
"27",84152,"G22007100006072",220710006072,"46","3",22
"28",84153,"G22007100006073",220710006073,"51","3",22
"29",84154,"G22007100006111",220710006111,"84","8",22
"30",84155,"G22007100006112",220710006112,"73","6",22
"31",84156,"G22007100006121",220710006121,"7","1",22
"32",84157,"G22007100006131",220710006131,"39","2",22
"33",84158,"G22007100006132",220710006132,"79","7",22
"34",84159,"G22007100006133",220710006133,"73","6",22
"35",84160,"G22007100006151",220710006151,"62","5",22
"36",84161,"G22007100006152",220710006152,"74","6",22
"37",84162,"G22007100006161",220710006161,"72","6",22
"38",84163,"G22007100006162",220710006162,"60","4",22
"39",84164,"G22007100006163",220710006163,"46","3",22
"40",84165,"G22007100006171",220710006171,"56","4",22
"41",84166,"G22007100006172",220710006172,"63","5",22
"42",84167,"G22007100006181",220710006181,"22","1",22
"43",84168,"G22007100006182",220710006182,"44","2",22
"44",84169,"G22007100007011",220710007011,"PH","PH",22
"45",84170,"G22007100007012",220710007012,"95","10",22
"46",84171,"G22007100007013",220710007013,"73","6",22
"47",84172,"G22007100007014",220710007014,"66","5",22
"48",84173,"G22007100007021",220710007021,"68","6",22
"49",84174,"G22007100007022",220710007022,"63","5",22
"50",84175,"G22007100007023",220710007023,"PH","PH",22
"51",84176,"G22007100007024",220710007024,"40","2",22
"52",84177,"G22007100008001",220710008001,"66","5",22
"53",84178,"G22007100008002",220710008002,"53","3",22
"54",84179,"G22007100008003",220710008003,"61","4",22
"55",84180,"G22007100009011",220710009011,"65","5",22
"56",84181,"G22007100009012",220710009012,"66","5",22
"57",84182,"G22007100009013",220710009013,"66","5",22
"58",84183,"G22007100009014",220710009014,"69","6",22
"59",84184,"G22007100009021",220710009021,"53","3",22
"60",84185,"G22007100009022",220710009022,"93","9",22
"61",84186,"G22007100009023",220710009023,"PH","PH",22
"62",84187,"G22007100009024",220710009024,"69","6",22
"63",84188,"G22007100009031",220710009031,"66","5",22
"64",84189,"G22007100009032",220710009032,"76","7",22
"65",84190,"G22007100009033",220710009033,"80","7",22
"66",84191,"G22007100009034",220710009034,"93","9",22
"67",84192,"G22007100009041",220710009041,"72","6",22
"68",84193,"G22007100009042",220710009042,"87","8",22
"69",84194,"G22007100011001",220710011001,"40","2",22
"70",84195,"G22007100011002",220710011002,"34","2",22
"71",84196,"G22007100011003",220710011003,"PH","PH",22
"72",84197,"G22007100012001",220710012001,"27","1",22
"73",84198,"G22007100012002",220710012002,"26","1",22
"74",84199,"G22007100012003",220710012003,"18","1",22
"75",84200,"G22007100013011",220710013011,"52","3",22
"76",84201,"G22007100013012",220710013012,"34","2",22
"77",84202,"G22007100013013",220710013013,"71","6",22
"78",84203,"G22007100013014",220710013014,"65","5",22
"79",84204,"G22007100013021",220710013021,"69","6",22
"80",84205,"G22007100013022",220710013022,"69","6",22
"81",84206,"G22007100014011",220710014011,"89","9",22
"82",84207,"G22007100014012",220710014012,"74","6",22
"83",84208,"G22007100014013",220710014013,"97","10",22
"84",84209,"G22007100014014",220710014014,"89","9",22
"85",84210,"G22007100014015",220710014015,"91","9",22
"86",84211,"G22007100014016",220710014016,"97","10",22
"87",84212,"G22007100014021",220710014021,"92","9",22
