"","...1","fips","ccvi","adi.median","adi.mean","adi.median.uw","adi.mean.uw","FIPS","fips.y","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","risk_cat","coi_num","id"
"1",1,37063000101,0.940011914,4,4.5,4.5,4.5,37063000101,37063000101,0.80800003,2015,37063,37,"NC",794,0.018603,-0.02328,-0.10088,-0.01217,"High","Very Low","Low","Low",64,17,27,31,"High","Very Low","Low","Low",65,18,30,34,"Moderate","Very Low","Low","Low",41,17,23,25,2,2,37063000101
"2",2,37063000102,0.947423837,4,5,5,5,37063000102,37063000102,0.85470003,2015,37063,37,"NC",935,0.029405,-0.03471,-0.09573,-0.01158,"High","Very Low","Low","Low",69,12,28,32,"High","Very Low","Low","Low",70,12,31,35,"Moderate","Very Low","Low","Low",45,8,24,25,2,2,37063000102
"3",3,37063000200,0.805101065,2,2,2,2,37063000200,37063000200,0.57059997,2015,37063,37,"NC",671,-0.00627,-0.04369,0.011369,-0.004,"Moderate","Very Low","Moderate","Low",51,9,47,40,"Moderate","Very Low","Moderate","Moderate",54,9,52,45,"Low","Very Low","Moderate","Low",34,6,43,32,3,3,37063000200
"4",4,37063000301,0.868469542,1.5,3.33333333333333,2,3.33333333333333,37063000301,37063000301,0.70480001,2015,37063,37,"NC",499,0.01989,0.003548,-0.11907,-0.01131,"High","Low","Low","Low",65,34,25,32,"High","Moderate","Low","Low",66,43,25,36,"Moderate","Low","Low","Low",42,37,21,26,2,2,37063000301
"5",5,37063000302,0.671229271,1,1,1,1,37063000302,37063000302,0.33919999,2015,37063,37,"NC",740,0.041885,0.009107,0.137979,0.021697,"High","Low","High","High",74,39,73,71,"High","Moderate","High","High",75,49,77,76,"High","Low","High","Moderate",61,39,61,59,4,4,37063000302
"6",6,37063000401,0.259278758,1,1.33333333333333,1,1.33333333333333,37063000401,37063000401,0.0217,2015,37063,37,"NC",612,0.065443,0.054821,0.276693,0.045327,"Very High","Very High","Very High","Very High",82,84,96,93,"Very High","Very High","Very High","Very High",82,98,97,93,"High","Very High","Very High","Very High",70,97,94,89,5,5,37063000401
"7",7,37063000402,0.448760754,2,2,2,2,37063000402,37063000402,0.1083,2015,37063,37,"NC",189,0.079368,0.01869,0.066531,0.018532,"Very High","Moderate","Moderate","High",86,48,58,67,"Very High","High","High","High",85,62,64,73,"High","Moderate","Moderate","Moderate",80,47,45,55,4,4,37063000402
"8",8,37063000500,0.967858578,3.5,5,6,5,37063000500,37063000500,0.86669999,2015,37063,37,"NC",784,-0.00933,-0.01038,-0.26103,-0.03258,"Moderate","Low","Very Low","Very Low",49,24,10,14,"Moderate","Low","Very Low","Very Low",52,28,8,14,"Low","Low","Very Low","Very Low",33,26,9,10,1,1,37063000500
"9",9,37063000600,0.837561131,1.5,1.66666666666667,2,1.66666666666667,37063000600,37063000600,0.55809999,2015,37063,37,"NC",1117,-0.01467,0.020586,-0.07554,-0.00825,"Moderate","Moderate","Low","Low",46,50,31,35,"Moderate","High","Low","Low",49,64,34,39,"Low","Moderate","Low","Low",31,51,26,26,2,2,37063000600
"10",10,37063000700,0.64356271,1,1,1,1,37063000700,37063000700,0.29890001,2015,37063,37,"NC",784,-0.02012,0.023078,0.099783,0.011853,"Moderate","Moderate","High","Moderate",43,52,65,59,"Moderate","High","High","High",46,67,71,66,"Low","Moderate","Moderate","Moderate",27,58,55,49,4,4,37063000700
"11",11,37063000900,0.979399011,8,8.5,8.5,8.5,37063000900,37063000900,0.85930002,2015,37063,37,"NC",485,-0.06809,-0.09672,-0.23322,-0.04499,"Very Low","Very Low","Very Low","Very Low",16,2,12,8,"Very Low","Very Low","Very Low","Very Low",13,2,11,7,"Very Low","Very Low","Very Low","Very Low",9,2,12,8,1,1,37063000900
"12",12,37063001001,0.99423671,8.5,9,9,9,37063001001,37063001001,0.96619999,2015,37063,37,"NC",935,-0.08598,-0.10319,-0.24717,-0.04928,"Very Low","Very Low","Very Low","Very Low",10,2,11,7,"Very Low","Very Low","Very Low","Very Low",8,1,9,6,"Very Low","Very Low","Very Low","Very Low",4,1,11,6,1,1,37063001001
"13",13,37063001002,0.989276957,9,9.5,9.5,9.5,37063001002,37063001002,0.97549999,2015,37063,37,"NC",1857,-0.10401,-0.02997,-0.33971,-0.05432,"Very Low","Very Low","Very Low","Very Low",6,14,6,5,"Very Low","Very Low","Very Low","Very Low",4,14,4,4,"Very Low","Very Low","Very Low","Very Low",1,11,5,6,1,1,37063001002
"14",14,37063001100,0.994638478,7,7,7,7,37063001100,37063001100,0.99440002,2015,37063,37,"NC",947,-0.08124,-0.0315,-0.39433,-0.05833,"Very Low","Very Low","Very Low","Very Low",12,13,4,4,"Very Low","Very Low","Very Low","Very Low",9,14,3,3,"Very Low","Very Low","Very Low","Very Low",7,10,3,4,1,1,37063001100
