"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"1",1,"22071000100",22071000100,"LOUISIANA","Orleans",0.259874482204458,1,1,1,1,22071000100,22,"LOUISIANA","LA",22071,"Orleans",22071000100,"Census Tract 1, Orleans Parish, Louisiana",0.0557,0.0557,2015,22071,22,"LA",488,0.007659,-0.04131,0.121824,0.010681,"Moderate","Very Low","High","Moderate",59,10,70,58,"High","Very Low","Very High","High",77,17,85,79,"High","Very Low","High","High",65,19,80,72,4
"2",2,"22071000200",22071000200,"LOUISIANA","Orleans",0.629916460010252,4,4.5,4.5,4.5,22071000200,22,"LOUISIANA","LA",22071,"Orleans",22071000200,"Census Tract 2, Orleans Parish, Louisiana",0.5647,0.5647,2015,22071,22,"LA",260,-0.02565,-0.12718,-0.32246,-0.05392,"Low","Very Low","Very Low","Very Low",39,1,7,5,"Moderate","Very Low","Very Low","Very Low",48,1,13,9,"Low","Very Low","Very Low","Very Low",32,1,13,6,1
"3",3,"22071000300",22071000300,"LOUISIANA","Orleans",0.634903922084759,6,7,7,7,22071000300,22,"LOUISIANA","LA",22071,"Orleans",22071000300,"Census Tract 3, Orleans Parish, Louisiana",0.6466,0.6466,2015,22071,22,"LA",175,-0.02739,-0.12688,-0.17382,-0.03675,"Low","Very Low","Very Low","Very Low",38,1,18,12,"Moderate","Very Low","Low","Low",46,1,31,22,"Low","Very Low","Low","Very Low",29,1,30,20,2
"4",4,"22071000400",22071000400,"LOUISIANA","Orleans",0.653496072373616,4,5,5,5,22071000400,22,"LOUISIANA","LA",22071,"Orleans",22071000400,"Census Tract 4, Orleans Parish, Louisiana",0.7125,0.7125,2015,22071,22,"LA",479,-0.01352,-0.09407,-0.36646,-0.0542,"Moderate","Very Low","Very Low","Very Low",47,2,5,5,"Moderate","Very Low","Very Low","Very Low",60,3,9,9,"Moderate","Very Low","Very Low","Very Low",45,4,7,6,1
"5",5,"22071000601",22071000601,"LOUISIANA","Orleans",0.552250592261121,6,6,6,6,22071000601,22,"LOUISIANA","LA",22071,"Orleans",22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",0.6681,0.6681,2015,22071,22,"LA",220,-0.00655,-0.09907,-0.67473,-0.08991,"Moderate","Very Low","Very Low","Very Low",51,2,1,1,"High","Very Low","Very Low","Very Low",66,3,1,1,"Moderate","Very Low","Very Low","Very Low",49,2,1,1,1
"6",6,"22071000602",22071000602,"LOUISIANA","Orleans",0.691996508776548,7.5,7.66666666666667,8,7.66666666666667,22071000602,22,"LOUISIANA","LA",22071,"Orleans",22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",0.7661,0.7661,2015,22071,22,"LA",584,-0.02082,-0.04463,-0.12278,-0.02135,"Moderate","Very Low","Low","Low",42,9,24,23,"Moderate","Very Low","Low","Low",53,16,39,36,"Low","Very Low","Low","Low",36,17,37,32,2
"7",7,"22071000603",22071000603,"LOUISIANA","Orleans",0.818137737077624,7,7,7,7,22071000603,22,"LOUISIANA","LA",22071,"Orleans",22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",0.9308,0.9308,2015,22071,22,"LA",290,-0.00638,-0.03454,-0.66302,-0.08169,"Moderate","Very Low","Very Low","Very Low",51,12,1,1,"High","Low","Very Low","Very Low",66,22,1,1,"Moderate","Low","Very Low","Very Low",49,22,1,1,1
"8",8,"22071000604",22071000604,"LOUISIANA","Orleans",0.765852509663208,6.5,7,7,7,22071000604,22,"LOUISIANA","LA",22071,"Orleans",22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",0.8271,0.8271,2015,22071,22,"LA",1134,0.004383,-0.00807,-0.35282,-0.04152,"Moderate","Low","Very Low","Very Low",57,25,5,10,"High","Moderate","Very Low","Very Low",76,41,10,17,"High","Low","Very Low","Very Low",62,40,10,15,1
"9",9,"22071000605",22071000605,"LOUISIANA","Orleans",0.668971058865907,6,7,7,7,22071000605,22,"LOUISIANA","LA",22071,"Orleans",22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",0.7773,0.7773,2015,22071,22,"LA",646,-0.01347,-0.01754,-0.20697,-0.02749,"Moderate","Very Low","Very Low","Very Low",47,20,14,18,"Moderate","Low","Low","Low",60,32,26,30,"Moderate","Low","Low","Low",45,31,25,27,2
"10",10,"22071000606",22071000606,"LOUISIANA","Orleans",0.694781175101481,3,3.33333333333333,3,3.33333333333333,22071000606,22,"LOUISIANA","LA",22071,"Orleans",22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",0.3384,0.3384,2015,22071,22,"LA",778,0.016714,0.027796,0.074079,0.013436,"High","Moderate","Moderate","High",63,57,60,61,"Very High","Very High","High","Very High",84,83,78,81,"High","High","High","High",77,78,73,74,5
"11",11,"22071000607",22071000607,"LOUISIANA","Orleans",0.460342749477009,2.5,2.66666666666667,3,2.66666666666667,22071000607,22,"LOUISIANA","LA",22071,"Orleans",22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",0.3377,0.3377,2015,22071,22,"LA",1450,0.021048,0.032528,0.143596,0.022525,"High","High","High","High",65,62,74,71,"Very High","Very High","Very High","Very High",87,89,88,91,"High","Very High","Very High","Very High",78,82,83,87,5
"12",12,"22071000611",22071000611,"LOUISIANA","Orleans",0.890137293747662,6,7,7,7,22071000611,22,"LOUISIANA","LA",22071,"Orleans",22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",0.9403,0.9403,2015,22071,22,"LA",1306,-0.00603,-0.04321,-0.25317,-0.03477,"Moderate","Very Low","Very Low","Very Low",51,9,10,13,"High","Very Low","Low","Low",66,17,21,23,"Moderate","Very Low","Very Low","Low",50,19,20,21,2
"13",13,"22071000612",22071000612,"LOUISIANA","Orleans",0.0948310497222261,1,1,1,1,22071000612,22,"LOUISIANA","LA",22071,"Orleans",22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",0.0641,0.0641,2015,22071,22,"LA",438,0.046889,0.007492,0.190132,0.028163,"High","Low","Very High","High",76,37,84,78,"Very High","Moderate","Very High","Very High",95,60,96,94,"Very High","Moderate","Very High","Very High",88,55,94,91,5
"14",14,"22071000613",22071000613,"LOUISIANA","Orleans",0.840082570205456,4,5,6,5,22071000613,22,"LOUISIANA","LA",22071,"Orleans",22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",0.9884,0.9884,2015,22071,22,"LA",1637,0.000726,-0.00833,-0.36422,-0.04328,"Moderate","Low","Very Low","Very Low",55,25,5,9,"High","Moderate","Very Low","Very Low",73,41,9,16,"Moderate","Low","Very Low","Very Low",59,39,8,13,1
"15",15,"22071000615",22071000615,"LOUISIANA","Orleans",0.595502971696153,5,5.5,5.5,5.5,22071000615,22,"LOUISIANA","LA",22071,"Orleans",22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",0.612,0.612,2015,22071,22,"LA",1248,0.013539,0.008211,-0.14885,-0.01499,"High","Low","Low","Low",62,38,21,28,"Very High","High","Low","Moderate",82,61,34,44,"High","Moderate","Low","Low",73,58,33,40,3
"16",16,"22071000616",22071000616,"LOUISIANA","Orleans",0.923996619609038,3.5,4.33333333333333,4,4.33333333333333,22071000616,22,"LOUISIANA","LA",22071,"Orleans",22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",0.8673,0.8673,2015,22071,22,"LA",1250,0.016579,-0.04397,0.006489,-0.00206,"High","Very Low","Moderate","Moderate",63,9,46,42,"Very High","Very Low","High","High",84,17,64,62,"High","Very Low","Moderate","Moderate",75,18,58,55,4
"17",17,"22071000617",22071000617,"LOUISIANA","Orleans",0.880093099292057,4,4.5,4.5,4.5,22071000617,22,"LOUISIANA","LA",22071,"Orleans",22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",0.8449,0.8449,2015,22071,22,"LA",1346,0.023177,-0.0272,-0.21595,-0.0255,"High","Very Low","Very Low","Very Low",66,15,13,19,"Very High","Low","Low","Low",88,25,25,31,"High","Low","Low","Low",80,27,24,29,2
