"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"1",17031010100,2015,17031,17,"IL",911,-0.020885479,-0.037210643,-0.25639954,-0.036158562,"Moderate","Very Low","Very Low","Very Low",42,11,10,12,"Moderate","Very Low","Very Low","Very Low",41,13,12,13,"Low","Very Low","Very Low","Very Low",38,14,13,15
"2",17031010201,2015,17031,17,"IL",1691,-0.041261777,-0.0093375966,-0.25760138,-0.035603914,"Low","Low","Very Low","Very Low",30,25,10,13,"Low","Low","Very Low","Very Low",28,27,12,14,"Low","Low","Very Low","Very Low",27,30,13,15
"3",17031010202,2015,17031,17,"IL",429,-0.027078701,-0.054912914,-0.10385464,-0.020928623,"Low","Very Low","Low","Low",38,6,27,23,"Low","Very Low","Low","Low",37,8,25,23,"Low","Very Low","Low","Low",34,9,27,25
"4",17031010300,2015,17031,17,"IL",804,-0.01995153,-0.052034259,-0.066414356,-0.015467526,"Moderate","Very Low","Low","Low",43,7,33,28,"Moderate","Very Low","Low","Low",42,8,30,27,"Low","Very Low","Low","Low",38,10,31,29
"5",17031010400,2015,17031,17,"IL",723,0.0015213481,0.0012069084,-0.12138099,-0.013860083,"Moderate","Low","Low","Low",55,32,24,30,"Moderate","Low","Low","Low",55,36,23,29,"Moderate","Low","Low","Low",48,38,24,30
"6",17031010501,2015,17031,17,"IL",472,-0.024693167,-0.015933523,-0.11834441,-0.018225642,"Low","Low","Low","Low",40,21,25,25,"Low","Low","Low","Low",39,23,23,25,"Low","Low","Low","Low",36,25,25,27
"7",17031010502,2015,17031,17,"IL",219,-0.0064179357,-0.024634235,0.012412393,-0.0018725934,"Moderate","Very Low","Moderate","Moderate",51,16,47,43,"Moderate","Very Low","Moderate","Low",51,18,42,39,"Moderate","Very Low","Moderate","Low",44,20,43,40
"8",17031010503,2015,17031,17,"IL",142,-0.045727856,-0.029514967,-0.17226256,-0.028282916,"Low","Very Low","Very Low","Very Low",27,14,18,17,"Low","Very Low","Very Low","Very Low",26,15,17,18,"Low","Very Low","Very Low","Very Low",25,17,19,20
"9",17031010600,2015,17031,17,"IL",924,-0.014901049,-0.01125562,-0.049706336,-0.0086401831,"Moderate","Low","Low","Low",46,23,35,35,"Moderate","Low","Low","Low",45,26,32,33,"Low","Low","Low","Low",40,28,33,35
"10",17031010701,2015,17031,17,"IL",930,-0.029307598,0.0054434044,0.0027889221,-0.0023450847,"Low","Low","Moderate","Moderate",37,36,45,42,"Low","Low","Moderate","Low",35,39,41,39,"Low","Moderate","Moderate","Low",33,42,41,39
"11",17031010702,2015,17031,17,"IL",1435,-0.030357733,-0.015034638,-0.14391521,-0.021740273,"Low","Low","Low","Low",36,21,21,22,"Low","Low","Very Low","Low",35,23,20,23,"Low","Low","Low","Low",33,26,22,24
"12",17031020100,2015,17031,17,"IL",971,-0.036364604,-0.031952415,-0.12410657,-0.021887405,"Low","Very Low","Low","Low",33,13,24,22,"Low","Very Low","Low","Low",31,15,23,23,"Low","Very Low","Low","Low",30,16,24,24
"13",17031020200,2015,17031,17,"IL",2190,-0.014316008,0.029348657,0.086746231,0.011639585,"Moderate","Moderate","High","Moderate",46,59,62,59,"Moderate","High","Moderate","Moderate",46,66,57,54,"Moderate","High","Moderate","Moderate",41,67,57,52
"14",17031020301,2015,17031,17,"IL",1605,0.0011035805,0.013626712,0.14272502,0.018211355,"Moderate","Moderate","High","High",55,43,74,67,"Moderate","Moderate","High","High",55,47,70,63,"Moderate","Moderate","High","Moderate",48,50,68,60
"15",17031020302,2015,17031,17,"IL",1253,-0.010343361,-0.012863256,-0.0018002335,-0.0027183183,"Moderate","Low","Moderate","Moderate",49,22,44,42,"Moderate","Low","Low","Low",49,24,40,39,"Moderate","Low","Low","Low",43,27,40,39
"16",17031020400,2015,17031,17,"IL",1090,-0.026671402,0.0028692733,0.04675442,0.0028019482,"Low","Low","Moderate","Moderate",39,34,54,48,"Low","Low","Moderate","Moderate",37,37,48,45,"Low","Low","Moderate","Moderate",34,40,49,44
"17",17031020500,2015,17031,17,"IL",1388,-0.034963895,-0.03100796,-0.1890042,-0.02920109,"Low","Very Low","Very Low","Very Low",34,13,16,17,"Low","Very Low","Very Low","Very Low",32,15,16,18,"Low","Very Low","Very Low","Very Low",31,17,18,20
"18",17031020601,2015,17031,17,"IL",1700,-0.024710506,0.0010214373,-0.025080027,-0.00555446,"Low","Low","Low","Low",40,32,40,38,"Low","Low","Low","Low",38,35,35,36,"Low","Low","Low","Low",35,38,37,37
"19",17031020602,2015,17031,17,"IL",1323,-0.026151683,-0.021110922,-0.12542802,-0.019761754,"Low","Very Low","Low","Low",39,18,24,24,"Low","Very Low","Low","Low",38,20,22,24,"Low","Low","Low","Low",35,22,24,26
"20",17031020701,2015,17031,17,"IL",413,0.00074532529,0.0060673347,0.14483993,0.01761765,"Moderate","Low","High","High",55,36,75,66,"Moderate","Low","High","High",54,40,70,62,"Moderate","Moderate","High","Moderate",48,43,69,60
"21",17031020702,2015,17031,17,"IL",2012,-0.03426582,-0.0006642919,-0.00061676273,-0.0039385054,"Low","Low","Moderate","Low",34,31,45,40,"Low","Low","Low","Low",32,34,40,37,"Low","Low","Low","Low",31,37,40,38
"22",17031020801,2015,17031,17,"IL",1037,-0.028726745,-0.015156489,-0.036589801,-0.0090553043,"Low","Low","Low","Low",37,21,38,35,"Low","Low","Low","Low",36,23,33,33,"Low","Low","Low","Low",34,26,35,34
"23",17031020802,2015,17031,17,"IL",1735,-0.032639932,-0.021686295,-0.1247827,-0.020466249,"Low","Very Low","Low","Low",35,17,24,24,"Low","Very Low","Low","Low",33,19,23,24,"Low","Low","Low","Low",32,22,24,25
"24",17031020901,2015,17031,17,"IL",1573,-0.026817106,-0.021786507,-0.11400288,-0.018574538,"Low","Very Low","Low","Low",39,17,25,25,"Low","Very Low","Low","Low",37,19,24,25,"Low","Low","Low","Low",34,21,25,27
"25",17031020902,2015,17031,17,"IL",861,-0.034263838,-0.015950538,-0.12606491,-0.020188181,"Low","Low","Low","Low",34,21,24,24,"Low","Low","Low","Low",32,23,22,24,"Low","Low","Low","Low",31,25,24,25
"26",17031030101,2015,17031,17,"IL",297,-0.018654983,-0.039139219,-0.13179356,-0.021583136,"Moderate","Very Low","Low","Low",44,10,23,23,"Moderate","Very Low","Low","Low",43,12,21,23,"Low","Very Low","Low","Low",39,13,23,25
