"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"1",37063000101,2015,37063,37,"NC",794,0.018603057,-0.02327743,-0.10087905,-0.01216987,"High","Very Low","Low","Low",64,17,27,31,"High","Very Low","Low","Low",65,18,30,34,"Moderate","Very Low","Low","Low",41,17,23,25
"2",37063000102,2015,37063,37,"NC",935,0.029405108,-0.034706671,-0.095730573,-0.011583243,"High","Very Low","Low","Low",69,12,28,32,"High","Very Low","Low","Low",70,12,31,35,"Moderate","Very Low","Low","Low",45,8,24,25
"3",37063000200,2015,37063,37,"NC",671,-0.0062733232,-0.043687001,0.01136899,-0.0039962907,"Moderate","Very Low","Moderate","Low",51,9,47,40,"Moderate","Very Low","Moderate","Moderate",54,9,52,45,"Low","Very Low","Moderate","Low",34,6,43,32
"4",37063000301,2015,37063,37,"NC",499,0.01989034,0.0035477255,-0.11907072,-0.011307658,"High","Low","Low","Low",65,34,25,32,"High","Moderate","Low","Low",66,43,25,36,"Moderate","Low","Low","Low",42,37,21,26
"5",37063000302,2015,37063,37,"NC",740,0.041885287,0.0091068242,0.13797905,0.021697193,"High","Low","High","High",74,39,73,71,"High","Moderate","High","High",75,49,77,76,"High","Low","High","Moderate",61,39,61,59
"6",37063000401,2015,37063,37,"NC",612,0.065442532,0.05482107,0.27669328,0.045326997,"Very High","Very High","Very High","Very High",82,84,96,93,"Very High","Very High","Very High","Very High",82,98,97,93,"High","Very High","Very High","Very High",70,97,94,89
"7",37063000402,2015,37063,37,"NC",189,0.079368368,0.018690214,0.066531226,0.018532049,"Very High","Moderate","Moderate","High",86,48,58,67,"Very High","High","High","High",85,62,64,73,"High","Moderate","Moderate","Moderate",80,47,45,55
"8",37063000500,2015,37063,37,"NC",784,-0.0093293637,-0.010375801,-0.26103303,-0.032576401,"Moderate","Low","Very Low","Very Low",49,24,10,14,"Moderate","Low","Very Low","Very Low",52,28,8,14,"Low","Low","Very Low","Very Low",33,26,9,10
"9",37063000600,2015,37063,37,"NC",1117,-0.014673147,0.020586243,-0.075537607,-0.0082549704,"Moderate","Moderate","Low","Low",46,50,31,35,"Moderate","High","Low","Low",49,64,34,39,"Low","Moderate","Low","Low",31,51,26,26
"10",37063000700,2015,37063,37,"NC",784,-0.020120572,0.023078199,0.099783331,0.011852856,"Moderate","Moderate","High","Moderate",43,52,65,59,"Moderate","High","High","High",46,67,71,66,"Low","Moderate","Moderate","Moderate",27,58,55,49
