"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"1",22071000100,2015,22071,22,"LA",488,0.0076592485,-0.041312501,0.12182441,0.010680991,"Moderate","Very Low","High","Moderate",59,10,70,58,"High","Very Low","Very High","High",77,17,85,79,"High","Very Low","High","High",65,19,80,72
"2",22071000200,2015,22071,22,"LA",260,-0.025652289,-0.12717548,-0.32245561,-0.053919557,"Low","Very Low","Very Low","Very Low",39,1,7,5,"Moderate","Very Low","Very Low","Very Low",48,1,13,9,"Low","Very Low","Very Low","Very Low",32,1,13,6
"3",22071000300,2015,22071,22,"LA",175,-0.027391091,-0.12688385,-0.17382033,-0.036746219,"Low","Very Low","Very Low","Very Low",38,1,18,12,"Moderate","Very Low","Low","Low",46,1,31,22,"Low","Very Low","Low","Very Low",29,1,30,20
"4",22071000400,2015,22071,22,"LA",479,-0.0135192,-0.094065621,-0.36646044,-0.054200653,"Moderate","Very Low","Very Low","Very Low",47,2,5,5,"Moderate","Very Low","Very Low","Very Low",60,3,9,9,"Moderate","Very Low","Very Low","Very Low",45,4,7,6
"5",22071000601,2015,22071,22,"LA",220,-0.0065531456,-0.099070355,-0.67472857,-0.089911789,"Moderate","Very Low","Very Low","Very Low",51,2,1,1,"High","Very Low","Very Low","Very Low",66,3,1,1,"Moderate","Very Low","Very Low","Very Low",49,2,1,1
"6",22071000602,2015,22071,22,"LA",584,-0.020815672,-0.044628397,-0.12278149,-0.021352854,"Moderate","Very Low","Low","Low",42,9,24,23,"Moderate","Very Low","Low","Low",53,16,39,36,"Low","Very Low","Low","Low",36,17,37,32
"7",22071000603,2015,22071,22,"LA",290,-0.0063820216,-0.034543902,-0.66302192,-0.081693001,"Moderate","Very Low","Very Low","Very Low",51,12,1,1,"High","Low","Very Low","Very Low",66,22,1,1,"Moderate","Low","Very Low","Very Low",49,22,1,1
"8",22071000604,2015,22071,22,"LA",1134,0.0043831705,-0.0080655245,-0.35282072,-0.041517574,"Moderate","Low","Very Low","Very Low",57,25,5,10,"High","Moderate","Very Low","Very Low",76,41,10,17,"High","Low","Very Low","Very Low",62,40,10,15
"9",22071000605,2015,22071,22,"LA",646,-0.013471784,-0.017541809,-0.2069719,-0.027489277,"Moderate","Very Low","Very Low","Very Low",47,20,14,18,"Moderate","Low","Low","Low",60,32,26,30,"Moderate","Low","Low","Low",45,31,25,27
"10",22071000606,2015,22071,22,"LA",778,0.016714269,0.027796483,0.074079037,0.013435584,"High","Moderate","Moderate","High",63,57,60,61,"Very High","Very High","High","Very High",84,83,78,81,"High","High","High","High",77,78,73,74
