"","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES"
"1",17,"ILLINOIS","IL",17031,"Cook",17031381700,"Census Tract 3817, Cook County, Illinois",-999
"2",17,"ILLINOIS","IL",17031,"Cook",17031980000,"Census Tract 9800, Cook County, Illinois",-999
"3",17,"ILLINOIS","IL",17031,"Cook",17031980100,"Census Tract 9801, Cook County, Illinois",-999
"4",17,"ILLINOIS","IL",17031,"Cook",17031020100,"Census Tract 201, Cook County, Illinois",0.6992
"5",17,"ILLINOIS","IL",17031,"Cook",17031020200,"Census Tract 202, Cook County, Illinois",0.6519
"6",17,"ILLINOIS","IL",17031,"Cook",17031020400,"Census Tract 204, Cook County, Illinois",0.7623
"7",17,"ILLINOIS","IL",17031,"Cook",17031020602,"Census Tract 206.02, Cook County, Illinois",0.836
"8",17,"ILLINOIS","IL",17031,"Cook",17031020701,"Census Tract 207.01, Cook County, Illinois",0.2633
"9",17,"ILLINOIS","IL",17031,"Cook",17031020801,"Census Tract 208.01, Cook County, Illinois",0.8021
"10",17,"ILLINOIS","IL",17031,"Cook",17031030900,"Census Tract 309, Cook County, Illinois",0.1505
"11",17,"ILLINOIS","IL",17031,"Cook",17031040201,"Census Tract 402.01, Cook County, Illinois",0.3058
"12",17,"ILLINOIS","IL",17031,"Cook",17031040300,"Census Tract 403, Cook County, Illinois",0.4376
"13",17,"ILLINOIS","IL",17031,"Cook",17031040401,"Census Tract 404.01, Cook County, Illinois",0.1824
"14",17,"ILLINOIS","IL",17031,"Cook",17031040402,"Census Tract 404.02, Cook County, Illinois",0.1398
"15",17,"ILLINOIS","IL",17031,"Cook",17031040600,"Census Tract 406, Cook County, Illinois",0.0643
"16",17,"ILLINOIS","IL",17031,"Cook",17031050100,"Census Tract 501, Cook County, Illinois",0.057
"17",17,"ILLINOIS","IL",17031,"Cook",17031050200,"Census Tract 502, Cook County, Illinois",0.2356
"18",17,"ILLINOIS","IL",17031,"Cook",17031050300,"Census Tract 503, Cook County, Illinois",0.2788
"19",17,"ILLINOIS","IL",17031,"Cook",17031050500,"Census Tract 505, Cook County, Illinois",0.1283
"20",17,"ILLINOIS","IL",17031,"Cook",17031050600,"Census Tract 506, Cook County, Illinois",0.0291
"21",17,"ILLINOIS","IL",17031,"Cook",17031050700,"Census Tract 507, Cook County, Illinois",0.0219
"22",17,"ILLINOIS","IL",17031,"Cook",17031050800,"Census Tract 508, Cook County, Illinois",0.0383
"23",17,"ILLINOIS","IL",17031,"Cook",17031050900,"Census Tract 509, Cook County, Illinois",0.0841
"24",17,"ILLINOIS","IL",17031,"Cook",17031051000,"Census Tract 510, Cook County, Illinois",0.1453
"25",17,"ILLINOIS","IL",17031,"Cook",17031051100,"Census Tract 511, Cook County, Illinois",0.0883
"26",17,"ILLINOIS","IL",17031,"Cook",17031051200,"Census Tract 512, Cook County, Illinois",0.0586
"27",17,"ILLINOIS","IL",17031,"Cook",17031051300,"Census Tract 513, Cook County, Illinois",0.009
"28",17,"ILLINOIS","IL",17031,"Cook",17031051400,"Census Tract 514, Cook County, Illinois",0.0905
"29",17,"ILLINOIS","IL",17031,"Cook",17031060100,"Census Tract 601, Cook County, Illinois",0.0679
"30",17,"ILLINOIS","IL",17031,"Cook",17031060300,"Census Tract 603, Cook County, Illinois",0.0081
"31",17,"ILLINOIS","IL",17031,"Cook",17031060400,"Census Tract 604, Cook County, Illinois",0.067
"32",17,"ILLINOIS","IL",17031,"Cook",17031061500,"Census Tract 615, Cook County, Illinois",0.0118
"33",17,"ILLINOIS","IL",17031,"Cook",17031062200,"Census Tract 622, Cook County, Illinois",0.014
"34",17,"ILLINOIS","IL",17031,"Cook",17031062400,"Census Tract 624, Cook County, Illinois",0.085
"35",17,"ILLINOIS","IL",17031,"Cook",17031062600,"Census Tract 626, Cook County, Illinois",0.077
"36",17,"ILLINOIS","IL",17031,"Cook",17031062700,"Census Tract 627, Cook County, Illinois",0.0728
"37",17,"ILLINOIS","IL",17031,"Cook",17031062800,"Census Tract 628, Cook County, Illinois",0.0101
"38",17,"ILLINOIS","IL",17031,"Cook",17031070600,"Census Tract 706, Cook County, Illinois",0.0155
"39",17,"ILLINOIS","IL",17031,"Cook",17031070700,"Census Tract 707, Cook County, Illinois",0.2851
"40",17,"ILLINOIS","IL",17031,"Cook",17031071600,"Census Tract 716, Cook County, Illinois",0.1184
"41",17,"ILLINOIS","IL",17031,"Cook",17031071700,"Census Tract 717, Cook County, Illinois",0.1011
"42",17,"ILLINOIS","IL",17031,"Cook",17031071800,"Census Tract 718, Cook County, Illinois",0.0548
"43",17,"ILLINOIS","IL",17031,"Cook",17031090100,"Census Tract 901, Cook County, Illinois",0.0852
"44",17,"ILLINOIS","IL",17031,"Cook",17031090200,"Census Tract 902, Cook County, Illinois",0.0417
"45",17,"ILLINOIS","IL",17031,"Cook",17031090300,"Census Tract 903, Cook County, Illinois",0.0131
"46",17,"ILLINOIS","IL",17031,"Cook",17031100100,"Census Tract 1001, Cook County, Illinois",0.3626
"47",17,"ILLINOIS","IL",17031,"Cook",17031100200,"Census Tract 1002, Cook County, Illinois",0.3404
"48",17,"ILLINOIS","IL",17031,"Cook",17031100400,"Census Tract 1004, Cook County, Illinois",0.2659
"49",17,"ILLINOIS","IL",17031,"Cook",17031100500,"Census Tract 1005, Cook County, Illinois",0.2823
"50",17,"ILLINOIS","IL",17031,"Cook",17031100600,"Census Tract 1006, Cook County, Illinois",0.2228
"51",17,"ILLINOIS","IL",17031,"Cook",17031100700,"Census Tract 1007, Cook County, Illinois",0.1843
"52",17,"ILLINOIS","IL",17031,"Cook",17031110100,"Census Tract 1101, Cook County, Illinois",0.3662
